"The recipe","Source file count","Source file changed count","Cumulative scanning time","99th percentile scanning time","Max scanning time","Cumulative edit time","99th percentile edit time","Max edit time"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.config.CompositeRecipe","367","253","0","0.0","0","53634","0.99","12283"
"com.oracle.weblogic.rewrite.WebLogicPersistenceConfigurationXmlNamespace1412","367","253","0","0.0","0","22031","0.99","831"
"com.oracle.weblogic.rewrite.WebLogicWebServicesXmlNamespace1511","367","253","0","0.0","0","23057","0.99","831"
"org.openrewrite.java.migrate.net.MigrateMulticastSocketGetTTLToGetTimeToLive","367","253","0","0.0","0","31948","0.99","902"
"org.openrewrite.java.migrate.UpgradeToJava6","367","253","0","0.0","0","22424","0.99","1082"
"org.openrewrite.java.migrate.UpgradeToJava7","367","253","0","0.0","0","34556","0.99","12103"
"org.openrewrite.java.migrate.UpgradeToJava17","367","253","0","0.0","0","23010","0.99","1072"
"org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","367","253","0","0.0","0","22998","0.99","551"
"org.openrewrite.java.migrate.UpgradeToJava8","367","253","0","0.0","0","23346","0.99","791"
"org.openrewrite.java.migrate.javax.HttpSessionInvalidate","367","253","0","0.0","0","9907875","0.99","1843111"
"com.oracle.weblogic.rewrite.WebLogicXmlWebAppNamespace1511","367","253","0","0.0","0","23317","0.99","782"
"org.openrewrite.maven.ChangeManagedDependencyGroupIdAndArtifactId","3670","253","0","0.0","0","8208774","0.99","415926"
"org.openrewrite.java.migrate.sql.MigrateDriverManagerSetLogStream","367","253","0","0.0","0","386170","0.99","9368"
"org.openrewrite.java.migrate.UpgradeToJava21","367","253","0","0.0","0","21918","0.99","972"
"org.openrewrite.java.migrate.javax.MigrateAbstractTypeVisitor6To9","367","253","0","0.0","0","59438","0.99","822"
"org.openrewrite.config.DeclarativeRecipe$PreconditionBellwether","11010","253","0","0.0","0","130849007","0.99","10024519"
"com.oracle.weblogic.rewrite.jakarta.RemovedJakartaFaces3ExpressionLanguageClasses","367","253","0","0.0","0","30237","0.99","331"
"org.openrewrite.java.migrate.jakarta.JavaxAuthorizationMigrationToJakartaAuthorization","367","253","0","0.0","0","37633","0.99","641"
"org.openrewrite.java.migrate.JREJdbcInterfaceNewMethods","367","253","0","0.0","0","80821","0.99","1362"
"org.openrewrite.java.dependencies.ChangeDependency","21286","253","0","0.0","0","712631737","0.99","322053832"
"org.openrewrite.java.migrate.javax.MigrateXMLEventFactoryNewInstanceToNewFactory","367","253","0","0.0","0","23083","0.99","912"
"org.openrewrite.java.migrate.RemoveIllegalSemicolons","367","253","0","0.0","0","32366620","0.99","1984407"
"org.openrewrite.java.migrate.jakarta.JavaxTransactionMigrationToJakartaTransaction","367","253","0","0.0","0","36157","0.99","902"
"com.oracle.weblogic.rewrite.WebLogicRaXmlNamespace1412","367","253","0","0.0","0","22430","0.99","861"
"org.openrewrite.java.migrate.lombok.LombokValToFinalVar","367","253","0","0.0","0","11791483","0.99","1375134"
"com.oracle.weblogic.rewrite.jakarta.JavaxWebXmlToJakartaWebXml5","367","253","0","0.0","0","29683","0.99","561"
"org.openrewrite.java.migrate.ReplaceComSunAWTUtilitiesMethods","367","253","0","0.0","0","48858680","0.99","9870488"
"com.oracle.weblogic.rewrite.MigrateWebLogicSchemasTo1511","367","253","0","0.0","0","38681","0.99","1061"
"com.oracle.weblogic.rewrite.jakarta.JavaxEjbJarXmlToJakarta9EjbJarXml","367","253","0","0.0","0","21592","0.99","771"
"org.openrewrite.java.migrate.javax.MigrateAbstractAnnotationValueVisitor6To9","367","253","0","0.0","0","23013","0.99","822"
"org.openrewrite.java.migrate.jakarta.JavaxAnnotationMigrationToJakartaAnnotation","367","253","0","0.0","0","43306","0.99","852"
"com.oracle.weblogic.rewrite.WebLogicXmlWebAppNamespace1412","367","253","0","0.0","0","22307","0.99","862"
"org.openrewrite.java.migrate.util.ListFirstAndLast","367","253","0","0.0","0","12643141","0.99","1459373"
"org.openrewrite.java.ReplaceStringLiteralValue","367","253","0","0.0","0","25066525","0.99","1037964"
"com.oracle.weblogic.rewrite.jakarta.Faces2xMigrationToJakartaFaces3x","367","253","0","0.0","0","43658","0.99","12042"
"org.openrewrite.java.migrate.UpdateSdkMan","1101","253","0","0.0","0","18218545","0.99","1704908"
"org.openrewrite.java.migrate.net.MigrateURLEncoderEncode","367","253","0","0.0","0","533241","0.99","18996"
"org.openrewrite.java.migrate.lang.MigrateCharacterIsSpaceToIsWhitespace","367","253","0","0.0","0","37314","0.99","882"
"com.oracle.weblogic.rewrite.jakarta.JavaxJobXmlToJakarta9JobXml","367","253","0","0.0","0","23030","0.99","512"
"com.oracle.weblogic.rewrite.UpgradeWeblogicMavenPropertyVersion","367","253","0","0.0","0","1681525","0.99","224534"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicReferenceWeakCompareAndSetToWeakCompareAndSetPlain","367","253","0","0.0","0","67624","0.99","1102"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicIntegerWeakCompareAndSetToWeakCompareAndSetPlain","367","253","0","0.0","0","53023","0.99","841"
"org.openrewrite.java.migrate.logging.MigrateInterfaceLoggingMXBeanToPlatformLoggingMXBean","367","253","0","0.0","0","41970","0.99","973"
"org.openrewrite.java.migrate.jakarta.JavaxOrmXmlToJakartaOrmXml","367","253","0","0.0","0","38020","0.99","722"
"org.openrewrite.java.migrate.javax.MigrateCounterMonitorSetThresholdToSetInitThreshold","367","253","0","0.0","0","24694","0.99","681"
"org.openrewrite.java.migrate.jakarta.JavaxJmsToJakartaJms","367","253","0","0.0","0","42425","0.99","592"
"com.oracle.weblogic.rewrite.WebLogicEjbJar32XmlNamespace1511","367","253","0","0.0","0","23729","0.99","631"
"org.openrewrite.java.migrate.logging.MigrateGetLoggingMXBeanToGetPlatformMXBean","367","253","0","0.0","0","1024608","0.99","43001"
"com.oracle.weblogic.rewrite.jakarta.UpdateJakartaPlatform9_1","367","253","0","0.0","0","43291","0.99","761"
"com.oracle.weblogic.rewrite.jakarta.JavaxFacesConfigXmlToJakartaFaces3ConfigXml","367","253","0","0.0","0","31290","0.99","611"
"org.openrewrite.java.migrate.InternalBindPackages","367","253","0","0.0","0","69114","0.99","9437"
"org.openrewrite.java.ChangeMethodInvocationReturnType","367","253","0","0.0","0","36107383","0.99","4947376"
"org.openrewrite.java.migrate.lang.StringFormatted","367","253","0","0.0","0","3139792","0.99","439151"
"org.openrewrite.java.migrate.javax.MigrateSimpleAnnotationValueVisitor6To9","367","253","0","0.0","0","52020","0.99","822"
"org.openrewrite.java.migrate.jakarta.JavaxWsToJakartaWs","367","253","0","0.0","0","44017","0.99","511"
"org.openrewrite.java.migrate.jakarta.JavaxXmlBindMigrationToJakartaXmlBind","367","253","0","0.0","0","37729","0.99","550"
"org.openrewrite.maven.AddAnnotationProcessor","367","253","0","0.0","0","36272","0.99","742"
"org.openrewrite.java.migrate.jakarta.JavaxMailToJakartaMail","367","253","0","0.0","0","36704","0.99","521"
"org.openrewrite.java.migrate.BeansXmlNamespace","367","253","0","0.0","0","2684117","0.99","1120843"
"org.openrewrite.staticanalysis.AddSerialAnnotationToSerialVersionUID","367","253","0","0.0","0","1107833476","0.99","257123409"
"org.openrewrite.java.migrate.RemovedRMIConnectorServerCredentialTypesConstant","367","253","0","0.0","0","37349","0.99","632"
"org.openrewrite.java.migrate.jakarta.JavaxEnterpriseToJakartaEnterprise","367","253","0","0.0","0","38976","0.99","641"
"com.oracle.weblogic.rewrite.WebLogicPlanXmlNamespace1511","367","253","0","0.0","0","21744","0.99","791"
"org.openrewrite.java.migrate.jakarta.JavaxEjbToJakartaEjb","367","253","0","0.0","0","34817","0.99","531"
"org.openrewrite.java.migrate.concurrent.JavaConcurrentAPIs","367","253","0","0.0","0","58832","0.99","1242"
"com.oracle.weblogic.rewrite.WebLogicEjbJar32XmlNamespace1412","367","253","0","0.0","0","22428","0.99","771"
"org.openrewrite.java.migrate.javax.AddJaxbRuntime","367","253","5318448","0.99","351826","109001034","0.99","43765432"
"org.openrewrite.maven.ChangeDependencyClassifier","1468","253","0","0.0","0","17770270","0.99","1879979"
"com.oracle.weblogic.rewrite.UpgradeTo1511","367","253","0","0.0","0","25775","0.99","1493"
"org.openrewrite.java.migrate.lang.ThreadStopUnsupported","367","253","0","0.0","0","26241518","0.99","1218807"
"org.openrewrite.java.migrate.jakarta.RemoveJakartaAnnotationDependency","367","253","0","0.0","0","39540","0.99","1022"
"com.oracle.weblogic.rewrite.UpdateBuildToWebLogic1511","367","253","0","0.0","0","23016","0.99","932"
"org.openrewrite.gradle.UpdateJavaCompatibility","1101","253","0","0.0","0","510318","0.99","10299"
"org.openrewrite.java.migrate.javaee7.OpenJPAPersistenceProvider","367","253","0","0.0","0","84704","0.99","20298"
"org.openrewrite.java.migrate.jakarta.JohnzonJavaxToJakarta","367","253","0","0.0","0","39086","0.99","652"
"org.openrewrite.java.migrate.RemovedFileIOFinalizeMethods","367","253","0","0.0","0","32669","0.99","711"
"org.openrewrite.java.migrate.javaee8.ApacheDefaultProvider","367","253","0","0.0","0","42570","0.99","421"
"com.oracle.weblogic.rewrite.WebLogicRaXmlNamespace1511","367","253","0","0.0","0","21937","0.99","862"
"com.oracle.weblogic.rewrite.WebLogicPlanXmlNamespace1412","367","253","0","0.0","0","22126","0.99","781"
"com.oracle.weblogic.rewrite.WebLogicJdbcXmlNamespace1511","367","253","0","0.0","0","21845","0.99","821"
"org.openrewrite.java.migrate.lang.MigrateSecurityManagerMulticast","367","253","0","0.0","0","390181","0.99","46458"
"org.openrewrite.gradle.UpdateGradleWrapper","734","253","28062995","0.99","7821278","2635450","0.99","249092"
"org.openrewrite.yaml.CommentOutProperty","22754","253","0","0.0","0","1763007","0.99","157899"
"com.oracle.weblogic.rewrite.jakarta.JavaxBatchXmlToJakarta9BatchXml","367","253","0","0.0","0","22598","0.99","450"
"org.openrewrite.java.migrate.net.URLConstructorsToURIRecipes","367","253","0","0.0","0","67796","0.99","622"
"org.openrewrite.java.migrate.javax.AddJaxwsRuntime$AddJaxwsRuntimeMaven","367","253","0","0.0","0","237469879","0.99","199985828"
"com.oracle.weblogic.rewrite.jakarta.FacesManagedBeansRemoved3","367","253","0","0.0","0","73606","0.99","622"
"org.openrewrite.java.migrate.javax.AddJaxwsRuntime$AddJaxwsRuntimeGradle","367","253","0","0.0","0","93757","0.99","1643"
"org.openrewrite.java.migrate.javax.MigrateTypeKindVisitor6To9","367","253","0","0.0","0","52186","0.99","681"
"org.openrewrite.java.migrate.jakarta.JavaxValidationMigrationToJakartaValidation","367","253","0","0.0","0","38453","0.99","572"
"org.openrewrite.java.migrate.logging.MigrateLoggerLogrbToUseResourceBundle","367","253","0","0.0","0","484105","0.99","26079"
"org.openrewrite.java.migrate.jakarta.JavaxInjectMigrationToJakartaInject","367","253","0","0.0","0","48691","0.99","11191"
"com.oracle.weblogic.rewrite.WebLogicJmsXmlNamespace1511","367","253","0","0.0","0","21679","0.99","771"
"org.openrewrite.java.migrate.jakarta.JavaxBatchMigrationToJakartaBatch","367","253","0","0.0","0","36892","0.99","540"
"com.oracle.weblogic.rewrite.jakarta.RemovedJakartaFaces3ResourceResolver","367","253","0","0.0","0","55739","0.99","471"
"com.oracle.weblogic.rewrite.jakarta.JavaxApplicationXmlToJakarta9ApplicationXml","367","253","0","0.0","0","21602","0.99","321"
"org.openrewrite.maven.RemoveRedundantDependencyVersions","1835","253","0","0.0","0","26978619","0.99","3490620"
"org.openrewrite.java.migrate.UpgradeBuildToJava17","367","253","0","0.0","0","69766","0.99","982"
"org.openrewrite.java.ReplaceConstantWithAnotherConstant","1101","253","0","0.0","0","12160135","0.99","1666384"
"org.openrewrite.java.migrate.jakarta.JavaxFacesToJakartaFaces","367","253","0","0.0","0","39631","0.99","481"
"org.openrewrite.java.migrate.UpgradeBuildToJava11","367","253","0","0.0","0","34086","0.99","1072"
"org.openrewrite.java.migrate.util.SequencedCollection","367","253","0","0.0","0","72007","0.99","2444"
"org.openrewrite.java.migrate.UpgradePluginsForJava21","367","253","0","0.0","0","52921","0.99","440"
"org.openrewrite.java.migrate.CastArraysAsListToList","367","253","0","0.0","0","666905","0.99","49253"
"org.openrewrite.java.migrate.javax.AddJaxbDependencies","367","253","0","0.0","0","70929","0.99","1022"
"org.openrewrite.java.migrate.JREWrapperInterface","367","253","0","0.0","0","22875","0.99","952"
"org.openrewrite.java.migrate.net.MigrateMulticastSocketSetTTLToSetTimeToLive","367","253","0","0.0","0","656336","0.99","51508"
"org.openrewrite.java.migrate.UpgradeBuildToJava21","367","253","0","0.0","0","26335","0.99","831"
"org.openrewrite.maven.UpgradePluginVersion","4771","253","0","0.0","0","216669632","0.99","185939405"
"org.openrewrite.java.migrate.UpgradePluginsForJava17","367","253","0","0.0","0","36034","0.99","490"
"com.oracle.weblogic.rewrite.WebLogicWebservicesPolicyRefXmlNamespace1412","367","253","0","0.0","0","22392","0.99","842"
"com.oracle.weblogic.rewrite.WebLogicJmsXmlNamespace1412","367","253","0","0.0","0","22300","0.99","822"
"org.openrewrite.java.migrate.UpgradePluginsForJava11","367","253","0","0.0","0","3770463","0.99","3691288"
"org.openrewrite.java.migrate.util.OptionalStreamRecipe","367","253","0","0.0","0","351575","0.99","9108"
"org.openrewrite.java.migrate.lang.MigrateRuntimeVersionSecurityToUpdate","367","253","0","0.0","0","30963","0.99","852"
"org.openrewrite.java.migrate.Java8toJava11","367","253","0","0.0","0","22535","0.99","991"
"org.openrewrite.java.migrate.net.MigrateHttpURLConnectionHttpServerErrorToHttpInternalError","367","253","0","0.0","0","3465737","0.99","119506"
"org.openrewrite.java.migrate.ReplaceAWTGetPeerMethod","367","253","0","0.0","0","765260","0.99","54233"
"com.oracle.weblogic.rewrite.jakarta.FacesJNDINamesChanged3","367","253","0","0.0","0","35250","0.99","572"
"com.oracle.weblogic.rewrite.jakarta.UpgradeCommonOpenSourceLibraries","367","253","0","0.0","0","33322","0.99","501"
"org.openrewrite.java.migrate.jakarta.JavaxResourceToJakartaResource","367","253","0","0.0","0","22781","0.99","380"
"org.openrewrite.java.migrate.lang.ExplicitRecordImport","367","253","0","0.0","0","132331098","0.99","27350543"
"org.openrewrite.scala.migrate.UpgradeScala_2_12","367","253","0","0.0","0","49355","0.99","911"
"com.oracle.weblogic.rewrite.WebLogicWebservicesPolicyRefXmlNamespace1511","367","253","0","0.0","0","22047","0.99","872"
"org.openrewrite.java.migrate.jakarta.JavaxPersistenceXmlToJakartaPersistenceXml","367","253","0","0.0","0","40996","0.99","541"
"org.openrewrite.java.migrate.jakarta.RemovedUIComponentConstant","367","253","0","0.0","0","31608","0.99","461"
"org.openrewrite.java.migrate.RemovedModifierAndConstantBootstrapsConstructors","367","253","0","0.0","0","40243","0.99","981"
"org.openrewrite.java.DeleteMethodArgument","1468","253","0","0.0","0","2383870","0.99","50945"
"org.openrewrite.xml.RemoveXmlTag","367","253","0","0.0","0","9424319","0.99","1438032"
"org.openrewrite.java.migrate.javax.JavaxXmlStreamAPIs","367","253","0","0.0","0","48069","0.99","831"
"org.openrewrite.java.migrate.RemovedSecurityManagerMethods","367","253","0","0.0","0","32140224","0.99","4738181"
"org.openrewrite.maven.RemoveManagedDependency","734","253","0","0.0","0","4076912","0.99","2229882"
"org.openrewrite.java.migrate.RemovedToolProviderConstructor","367","253","0","0.0","0","119839","0.99","38723"
"org.openrewrite.java.migrate.MXBeanRule","367","253","0","0.0","0","43799693","0.99","5180969"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicLongArrayWeakCompareAndSetToWeakCompareAndSetPlain","367","253","0","0.0","0","50171","0.99","1101"
"com.oracle.weblogic.rewrite.WebLogicWebServicesXmlNamespace1412","367","253","0","0.0","0","21965","0.99","741"
"com.oracle.weblogic.rewrite.WebLogicPersistenceConfigurationXmlNamespace1511","367","253","0","0.0","0","21903","0.99","812"
"org.openrewrite.java.migrate.RemovedRuntimeTraceMethods","367","253","0","0.0","0","78895","0.99","2765"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicReferenceArrayWeakCompareAndSetToWeakCompareAndSetPlain","367","253","0","0.0","0","53376","0.99","962"
"org.openrewrite.java.migrate.lang.MigrateRuntimeVersionMinorToInterim","367","253","0","0.0","0","32491","0.99","1073"
"org.openrewrite.java.migrate.jakarta.EhcacheJavaxToJakarta","367","253","0","0.0","0","83121","0.99","14878"
"org.openrewrite.staticanalysis.ReplaceDeprecatedRuntimeExecMethods","367","253","0","0.0","0","33369316","0.99","3885967"
"org.openrewrite.java.RemoveMethodInvocations","4037","253","0","0.0","0","11340773","0.99","566403"
"org.openrewrite.java.migrate.DeprecatedLogRecordThreadID","367","253","0","0.0","0","41934","0.99","1011"
